year,dist_name,precipitation
2012,Ariyalur,71.51
2012,Chennai,91.58
2012,Coimbatore,68.79
2012,Cuddalore,83.12
2012,Dharmapuri,59.91
2012,Dindigul,53.37
2012,Erode,44.2
2012,Kancheepuram,88.2
2012,Kanyakumari,81.03
2012,Karur,47.21
2012,Krishnagiri,53.84
2012,Madurai,57.86
2012,Nagapattinam,91.23
2012,Namakkal,52.53
2012,Perambular,65.61
2012,Pudukkottai,63.02
2012,Ramananthapuram,56.09
2012,Salem,59.75
2012,Sivagangai,62.36
2012,Thanjavur,69.87
2012,The Nilgiris,94.87
2012,Theni,61.85
2012,Thirunelveli,64.3
2012,Thiruvallur,85.35
2012,Thiruvarur,81.57
2012,Thoothukudi,46.72
2012,Tiruchirappalli,55.61
2012,Tiruppur,42.37
2012,Tiruvannamalai,75.94
2012,Vellore,67.63
2012,Villupuram,77.74
2012,Virudhunagar,55.08
2013,Ariyalur,75.65
2013,Chennai,102.62
2013,Coimbatore,89.11
2013,Cuddalore,87.87
2013,Dharmapuri,77.54
2013,Dindigul,58.0
2013,Erode,52.98
2013,Kancheepuram,100.14
2013,Kanyakumari,108.79
2013,Karur,49.25
2013,Krishnagiri,72.94
2013,Madurai,60.63
2013,Nagapattinam,89.93
2013,Namakkal,60.7
2013,Perambular,71.88
2013,Pudukkottai,63.35
2013,Ramananthapuram,56.37
2013,Salem,72.98
2013,Sivagangai,61.7
2013,Thanjavur,71.55
2013,The Nilgiris,127.52
2013,Theni,76.34
2013,Thirunelveli,82.55
2013,Thiruvallur,99.7
2013,Thiruvarur,81.53
2013,Thoothukudi,52.15
2013,Tiruchirappalli,58.37
2013,Tiruppur,49.17
2013,Tiruvannamalai,93.88
2013,Vellore,88.47
2013,Villupuram,87.06
2013,Virudhunagar,60.85
2014,Ariyalur,80.25
2014,Chennai,93.6
2014,Coimbatore,106.2
2014,Cuddalore,89.92
2014,Dharmapuri,83.06
2014,Dindigul,71.23
2014,Erode,64.66
2014,Kancheepuram,92.9
2014,Kanyakumari,100.16
2014,Karur,62.7
2014,Krishnagiri,76.87
2014,Madurai,72.6
2014,Nagapattinam,95.65
2014,Namakkal,72.24
2014,Perambular,78.4
2014,Pudukkottai,74.0
2014,Ramananthapuram,62.76
2014,Salem,81.68
2014,Sivagangai,74.01
2014,Thanjavur,77.4
2014,The Nilgiris,168.45
2014,Theni,81.85
2014,Thirunelveli,79.08
2014,Thiruvallur,88.52
2014,Thiruvarur,87.28
2014,Thoothukudi,53.81
2014,Tiruchirappalli,70.3
2014,Tiruppur,59.67
2014,Tiruvannamalai,87.49
2014,Vellore,80.3
2014,Villupuram,86.98
2014,Virudhunagar,66.53
2015,Ariyalur,110.36
2015,Chennai,80.64
2015,Coimbatore,119.95
2015,Cuddalore,112.85
2015,Dharmapuri,92.57
2015,Dindigul,98.67
2015,Erode,78.29
2015,Kancheepuram,87.97
2015,Kanyakumari,150.98
2015,Karur,82.55
2015,Krishnagiri,81.19
2015,Madurai,106.93
2015,Nagapattinam,131.01
2015,Namakkal,88.85
2015,Perambular,104.34
2015,Pudukkottai,112.62
2015,Ramananthapuram,99.1
2015,Salem,96.37
2015,Sivagangai,116.16
2015,Thanjavur,114.08
2015,The Nilgiris,147.74
2015,Theni,116.34
2015,Thirunelveli,116.61
2015,Thiruvallur,80.1
2015,Thiruvarur,125.13
2015,Thoothukudi,82.06
2015,Tiruchirappalli,94.82
2015,Tiruppur,77.75
2015,Tiruvannamalai,92.6
2015,Vellore,82.61
2015,Villupuram,99.12
2015,Virudhunagar,99.96
