year,dist_name,nitrogen_kharif_consumption_tons,nitrogen_rabi_consumption_tons,phosphate_kharif_consumption_tons,phosphate_rabi_consumption_tons,potash_kharif_consumption_tons,potash_rabi_consumption_tons,total_kharif_consumption_tons,total_rabi_consumption_tons
1998,Cuddalore,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Dharmapuri,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Dindigul,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Erode,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Kancheepuram,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Kanyakumari,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Karur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Madurai,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Nagapattinam,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Namakkal,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Perambular,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Pudukkottai,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Ramananthapuram,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Salem,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Sivagangai,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Thanjavur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,The Nilgiris,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Theni,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Thirunelveli,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Thiruvallur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Thiruvarur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Thoothukudi,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Tiruchirappalli,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Tiruvannamalai,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Vellore,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Villupuram,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1998,Virudhunagar,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1999,Chennai,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
