year,dist_name,rice_area_1000_ha,rice_production_1000_tons,rice_yield_kg_per_ha
2010,Sivagangai,83.93,188.42,2245.0
2010,Thanjavur,166.21,476.79,2869.0
2010,The Nilgiris,0.39,1.4,3590.0
2010,Theni,15.36,74.01,4818.0
2010,Thirunelveli,79.76,351.82,4411.0
2010,Thiruvallur,83.22,250.21,3007.0
2010,Thiruvarur,160.24,285.59,1782.0
2010,Thoothukudi,20.01,89.44,4470.0
2010,Tiruchirappalli,67.17,268.14,3992.0
2010,Tiruppur,11.8,46.95,3979.0
2010,Tiruvannamalai,125.49,357.69,2850.0
2010,Vellore,43.22,152.83,3536.0
2010,Villupuram,149.93,512.01,3415.0
2010,Virudhunagar,30.57,94.52,3092.0
2011,Ariyalur,24.1,97.26,4036.0
2011,Coimbatore,2.63,10.49,3989.0
2011,Cuddalore,120.98,248.24,2052.0
2011,Dharmapuri,27.07,128.23,4737.0
2011,Dindigul,19.16,103.38,5396.0
2011,Erode,33.72,144.36,4281.0
2011,Kancheepuram,90.42,395.41,4373.0
2011,Kanyakumari,16.62,90.11,5422.0
2011,Karur,17.09,65.74,3847.0
2011,Krishnagiri,20.11,91.44,4547.0
2011,Madurai,65.64,304.24,4635.0
2011,Nagapattinam,170.04,577.03,3393.0
2011,Namakkal,8.13,35.75,4397.0
2011,Perambular,13.1,58.48,4464.0
2011,Pudukkottai,92.59,334.26,3610.0
2011,Ramananthapuram,128.96,438.24,3398.0
2011,Salem,27.75,125.33,4516.0
2011,Sivagangai,83.78,310.18,3702.0
2011,Thanjavur,180.86,722.58,3995.0
2011,The Nilgiris,0.4,1.65,4125.0
2011,Theni,14.74,79.13,5368.0
2011,Thirunelveli,17.68,85.77,4851.0
2011,Thiruvallur,79.22,313.04,3952.0
2011,Thiruvarur,86.73,459.4,5297.0
2011,Thoothukudi,103.92,356.2,3428.0
2011,Tiruchirappalli,63.94,302.48,4731.0
2011,Tiruppur,10.61,48.94,4613.0
